C1,C2,Op,Res
1+5j,2+2j,0,3+7j
1,2,0,3
5j,2j,0,7j
5,3+8j,0,8+8j
9+2j,2,0,11+2j
1,6j,0,1+6j
8+3j,2+2j,0,10+5j
3,0,0,3
34+j,7j,0,34+8j
1+5j,2+2j,1,-1+3j
5j,2j,1,3j
7,3,1,4
23j,5,1,-5+23j
19,2j,1,19-2j
12+7j,9,1,3+7j
93+17j,22+6j,1,71+11j
93,2+2j,1,91+2j
11+9j,3+4j,1,8+5j
3j,2+5j,1,2-2j
18+13j,6+14j,1,12-j
2+3j,5+5j,2,-5+25j
2,5,2,10
3j,7j,2,21j
6,9j,2,54j
2j,4,2,8j
-25,9j,2,-225j
-9-j,7+2j,2,-65-11j
-1-j,2+3j,2,1-5j
-25j,3j,2,75
9-5j,6+14j,2,124+96j
2+2j,4+4j,3,0.5
2+2j,4j,3,0.5-0.5j
2,4+4j,3,0.25-0.25j
2+5j,5+7j,3,0.60+0.14j
9+12j,8,3,1.12+1.5j
10-5j,1+j,3,2.5-7.5j
10-5j,-5+5j,3,-1.5-0.5j
1+j,6-5j,3,0.01+0.18j
12,3-8j,3,0.49+1.31j
6j,4+3j,3,0.72+0.96j
